,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0,22,30,37,27,95,88,92,83,95,27,30,32,27,31,52,59,77,76,56
1,23,0,30,30,31,95,91,92,86,90,25,26,34,26,29,47,56,76,74,57
2,30,30,0,32,35,98,88,91,89,95,39,32,35,32,30,57,62,78,72,59
3,37,30,32,0,40,101,89,94,79,94,34,24,40,31,35,51,63,74,78,58
4,27,31,35,41,0,90,92,88,90,91,38,36,40,31,34,57,60,77,72,62
5,95,95,98,101,90,0,119,98,90,98,103,105,102,98,98,102,96,90,99,101
6,88,91,88,89,92,119,0,94,105,102,87,81,94,91,85,86,94,88,100,90
7,92,92,91,94,88,98,94,0,82,90,92,94,91,91,96,90,78,86,86,89
8,83,86,89,79,90,90,105,82,0,117,91,86,85,90,93,102,93,82,99,99
9,95,90,95,94,91,98,102,90,117,0,87,96,95,94,98,81,96,94,99,106
10,27,25,39,34,38,103,87,92,91,87,0,34,42,33,37,61,57,70,77,60
11,29,26,32,24,36,105,81,94,86,96,34,0,39,27,31,45,64,67,61,67
12,32,34,35,40,40,102,94,91,85,95,42,40,0,37,41,61,61,80,72,61
13,27,26,32,31,31,98,91,91,90,94,33,27,37,0,36,50,61,76,70,61
14,30,29,30,36,33,98,85,96,93,98,37,31,41,36,0,56,68,85,81,67
15,52,47,57,51,57,102,86,90,102,81,61,45,61,50,56,0,66,81,63,64
16,59,56,62,63,60,96,94,78,93,96,57,64,61,61,68,66,0,79,70,64
17,77,76,78,74,77,90,88,86,82,94,70,67,80,76,85,81,79,0,85,77
18,76,74,72,78,72,99,100,86,99,99,77,61,72,70,81,63,70,85,0,84
19,56,57,59,58,62,101,90,89,99,106,60,67,61,61,67,64,64,77,84,0
avg ,54.47368421,53.52631579,57.05263158,57.15789474,57.36842105,98.84210526,92.84210526,90.21052632,91.63157895,95.68421053,57.57894737,55.05263158,60.10526316,55.89473684,59.52631579,66.94736842,70.89473684,80.10526316,79.89473684,72.73684211
stdev,27.42944165,27.78362512,26.1565239,25.83981243,24.57236597,6.525702669,8.674760054,4.756036484,9.382078225,7.491125354,25.55237712,27.0667358,24.5150628,27.07375674,27.28322322,17.95820359,14.0233723,6.748619092,12.17417456,16.67946877
,,,,,,,,,,,,,,,,,,,,
group avg,55.91578947,,,,,93.84210526,,,,,57.63157895,,,,,74.11578947,,,,
group stdev,25.86407315,,,,,8.005737025,,,,,25.83048365,,,,,14.71926163,,,,
,,,,,,,,,,,,,,,,,,,,
within avg,31.5,,,,,99.5,,,,,35.75,,,,,73.3,,,,
within stdev,4.947088458,,,,,11.44552314,,,,,4.517509794,,,,,8.58456387,,,,
