,0,-1,1,2,3,-5,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,0.0,0,10.0,5.0,8.0,0,18.0,20.0,37.0,23.0,11.0,8.0,9.0,7.0,8.0,10.0,7.0,4.0,6.0,7.0
1,10.0,0,0.0,10.0,8.0,0,17.0,17.0,33.0,21.0,11.0,11.0,13.0,10.0,9.0,10.0,10.0,10.0,9.0,13.0
2,5.0,0,10.0,0.0,4.0,0,17.0,18.0,32.0,22.0,10.0,6.0,8.0,5.0,6.0,7.0,7.0,6.0,7.0,7.0
3,8.0,0,8.0,4.0,0.0,0,15.0,21.0,32.0,20.0,9.0,8.0,11.0,7.0,8.0,7.0,7.0,7.0,5.0,10.0
4,18.0,0,17.0,17.0,15.0,0,0.0,26.0,34.0,19.0,18.0,16.0,13.0,17.0,15.0,15.0,15.0,16.0,13.0,16.0
5,20.0,0,17.0,18.0,21.0,0,26.0,0.0,37.0,31.0,24.0,18.0,22.0,18.0,18.0,21.0,21.0,20.0,20.0,21.0
6,37.0,0,33.0,32.0,32.0,0,34.0,37.0,0.0,40.0,36.0,33.0,32.0,34.0,32.0,32.0,33.0,36.0,35.0,31.0
7,23.0,0,21.0,22.0,20.0,0,19.0,31.0,40.0,0.0,24.0,22.0,24.0,23.0,24.0,24.0,22.0,22.0,21.0,24.0
8,11.0,0,11.0,10.0,9.0,0,18.0,24.0,36.0,24.0,0.0,8.0,11.0,13.0,8.0,7.0,11.0,12.0,10.0,10.0
9,8.0,0,11.0,6.0,8.0,0,16.0,18.0,33.0,22.0,8.0,0.0,6.0,6.0,2.0,5.0,5.0,6.0,6.0,8.0
10,9.0,0,13.0,8.0,11.0,0,13.0,22.0,32.0,24.0,11.0,6.0,0.0,8.0,7.0,8.0,7.0,8.0,9.0,9.0
11,7.0,0,9.0,5.0,7.0,0,17.0,18.0,34.0,23.0,13.0,6.0,8.0,0.0,7.0,9.0,5.0,6.0,5.0,9.0
12,8.0,0,9.0,6.0,8.0,0,15.0,18.0,32.0,24.0,8.0,2.0,7.0,7.0,0.0,5.0,5.0,6.0,6.0,8.0
13,10.0,0,10.0,7.0,7.0,0,15.0,20.0,32.0,24.0,7.0,5.0,8.0,9.0,5.0,0.0,5.0,6.0,6.0,8.0
14,7.0,0,10.0,7.0,7.0,0,15.0,21.0,33.0,22.0,11.0,5.0,7.0,5.0,5.0,5.0,0.0,3.0,4.0,8.0
15,4.0,0,10.0,6.0,7.0,0,16.0,19.0,36.0,22.0,12.0,6.0,8.0,6.0,6.0,6.0,3.0,0.0,6.0,8.0
16,6.0,0,9.0,7.0,5.0,0,13.0,20.0,35.0,21.0,10.0,6.0,9.0,5.0,6.0,6.0,4.0,6.0,0.0,6.0
17,7.0,0,13.0,7.0,10.0,0,16.0,21.0,31.0,24.0,10.0,8.0,9.0,9.0,8.0,8.0,8.0,8.0,6.0,0.0
