,0,-1,1,-3,2,3,-6,4,5,6,7,8,9,10,11,12,13,14,15,16
0,0,0,16,0,8,24,0,21,33,29,8,13,11,13,12,11,13,11,11,11
1,16,0,0,0,14,28,0,28,36,34,14,14,13,16,15,13,12,15,15,15
2,9,0,14,0,0,29,0,24,34,31,7,10,8,11,10,9,10,8,8,9
3,24,0,28,0,29,0,0,36,37,30,27,28,30,29,29,26,25,28,29,29
4,21,0,28,0,24,36,0,0,39,33,24,24,24,26,27,27,28,26,26,27
5,33,0,36,0,34,37,0,39,0,44,34,33,35,33,34,32,33,35,31,34
6,29,0,34,0,30,30,0,33,44,0,31,29,32,32,31,31,29,32,31,30
7,8,0,14,0,7,27,0,24,34,31,0,8,5,7,6,5,8,6,3,6
8,13,0,14,0,10,28,0,24,33,29,8,0,7,11,9,10,11,7,7,8
9,11,0,13,0,8,30,0,24,35,32,5,7,0,8,6,8,9,5,6,5
10,13,0,16,0,11,29,0,26,33,32,7,11,8,0,6,8,10,7,9,9
11,12,0,15,0,10,29,0,27,34,31,6,9,6,6,0,10,10,7,7,5
12,11,0,13,0,9,26,0,27,32,31,5,10,8,8,10,0,10,5,6,7
13,13,0,12,0,10,25,0,28,33,29,8,11,9,10,10,10,0,8,9,10
14,11,0,15,0,8,28,0,26,35,32,6,7,5,7,7,5,8,0,7,4
15,11,0,15,0,8,29,0,26,31,31,3,7,6,9,7,6,9,7,0,6
16,11,0,15,0,9,29,0,27,34,30,6,8,5,9,5,7,10,4,6,0
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
avg ,15.375,#DIV/0!,18.625,#DIV/0!,14.3125,29,#DIV/0!,27.5,34.8125,31.8125,12.4375,14.3125,13.25,14.6875,14,13.625,14.6875,13.1875,13.1875,13.4375
stdev,7.401576409,#DIV/0!,7.965550828,#DIV/0!,9.235574337,3.386246693,#DIV/0!,4.718756898,3.12449996,3.54436172,10.32775387,8.852259599,10.56724499,9.554885312,10.10610377,9.5,8.607893664,10.64091945,9.974759813,10.31483559
,,,,,,,,,,,,,,,,,,,,
group avg,16.10416667,,,,,30.78125,,,,,13.7375,,,,,13.625,,,,
group stdev,8.270016551,,,,,4.613536845,,,,,9.680652439,,,,,9.597435048,,,,
,,,,,,,,,,,,,,,,,,,,
within avg,12.83333333,,,,,36.5,,,,,7.3,,,,,7.2,,,,
within stdev,3.488074923,,,,,4.622081389,,,,,1.719853115,,,,,1.989445837,,,,
