,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,,
0,0,7,4,5,3,8,4,4,0,0,2,1,2,0,0,1,1,1,,
1,7,0,9,10,10,7,8,5,7,7,8,6,8,7,7,8,8,7,,
2,4,9,0,7,7,8,8,8,4,4,6,5,6,4,4,5,5,5,,
3,5,11,7,0,8,7,5,9,5,5,5,6,4,5,5,6,6,6,,
4,3,10,7,8,0,11,7,7,3,3,5,4,5,3,3,4,4,4,,
5,8,8,8,8,11,0,9,8,8,8,10,9,8,8,8,9,8,9,,
6,4,8,8,5,7,9,0,8,4,4,6,5,6,4,4,5,5,5,,
7,4,5,8,9,7,8,8,0,4,4,5,3,6,4,4,5,5,4,,
8,0,7,4,5,3,8,4,4,0,0,2,1,2,0,0,1,1,1,,
9,0,7,4,5,3,8,4,4,0,0,2,1,2,0,0,1,1,1,,
10,2,8,6,5,5,9,6,5,2,2,0,3,2,2,2,1,1,1,,
11,1,6,5,6,4,9,5,3,1,1,3,0,3,1,1,2,2,2,,
12,2,8,6,4,5,8,6,6,2,2,2,3,0,2,2,3,3,3,,
13,0,7,4,5,3,8,4,4,0,0,2,1,2,0,0,1,1,1,,
14,0,7,4,5,3,8,4,4,0,0,2,1,2,0,0,1,1,1,,
15,1,8,5,6,4,9,5,5,1,1,1,2,3,1,1,0,0,0,,
16,1,8,5,6,4,8,5,5,1,1,1,2,3,1,1,0,0,0,,
17,1,7,5,6,4,9,5,4,1,1,1,2,3,1,1,0,0,0,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
avg ,3.307692308,7.705882353,5.823529412,6.176470588,5.352941176,8.352941176,5.705882353,5.470588235,3.307692308,3.307692308,3.705882353,3.235294118,3.941176471,3.307692308,3.307692308,3.533333333,3.466666667,3.4,#DIV/0!,#DIV/0!
stdev,2.323238235,1.403776419,1.704233483,1.667156791,2.548067318,0.931475742,1.686887144,1.841115391,2.323238235,2.323238235,2.663754537,2.305683515,2.135140166,2.323238235,2.323238235,2.72204405,2.587515815,2.585674822,#DIV/0!,#DIV/0!
,,,,,,,,,,,,,,,,,,,,
group avg,5.790123457,,,,,5.428571429,,,,,3.519480519,,,,,3.466666667,,,,
group stdev,2.343693929,,,,,2.582474188,,,,,2.314771727,,,,,2.572582714,,,,
,,,,,,,,,,,,,,,,,,,,
within avg,7.05,,,,,6.333333333,,,,,2,,,,,0,,,,
within stdev,2.416500297,,,,,2.169304578,,,,,0.685994341,,,,,0,,,,
