,0,1,2,3,4,5,6,-7,7,-9,8,9,10,11,12,13,14,15,16,17
0,0.0,8.0,4.0,5.0,11.0,22.0,18.0,0,24.0,0,7.0,7.0,6.0,8.0,6.0,6.0,10.0,11.0,12.0,5.0
1,8.0,0.0,8.0,7.0,12.0,23.0,19.0,0,21.0,0,9.0,9.0,8.0,11.0,6.0,9.0,13.0,11.0,12.0,7.0
2,4.0,8.0,0.0,4.0,13.0,23.0,16.0,0,23.0,0,6.0,9.0,5.0,8.0,9.0,8.0,10.0,11.0,13.0,7.0
3,5.0,7.0,4.0,0.0,10.0,24.0,19.0,0,25.0,0,7.0,8.0,5.0,9.0,5.0,8.0,11.0,12.0,11.0,7.0
4,11.0,12.0,13.0,10.0,0.0,23.0,15.0,0,21.0,0,9.0,12.0,12.0,12.0,6.0,10.0,14.0,11.0,16.0,11.0
5,22.0,23.0,23.0,24.0,23.0,0.0,27.0,0,25.0,0,22.0,22.0,23.0,19.0,25.0,20.0,23.0,25.0,30.0,22.0
6,19.0,19.0,17.0,20.0,16.0,27.0,0.0,0,28.0,0,13.0,20.0,18.0,15.0,18.0,19.0,20.0,18.0,23.0,16.0
7,24.0,21.0,23.0,25.0,21.0,25.0,28.0,0,0.0,0,25.0,23.0,21.0,22.0,23.0,24.0,24.0,20.0,24.0,25.0
8,7.0,9.0,6.0,7.0,9.0,22.0,13.0,0,25.0,0,0.0,11.0,7.0,9.0,5.0,9.0,13.0,11.0,13.0,9.0
9,7.0,9.0,9.0,8.0,12.0,22.0,19.0,0,23.0,0,11.0,0.0,10.0,10.0,10.0,7.0,13.0,14.0,16.0,6.0
10,6.0,8.0,5.0,5.0,12.0,23.0,18.0,0,21.0,0,7.0,10.0,0.0,9.0,9.0,9.0,12.0,10.0,12.0,8.0
11,8.0,11.0,8.0,9.0,12.0,19.0,15.0,0,22.0,0,9.0,11.0,10.0,0.0,11.0,9.0,12.0,14.0,15.0,9.0
12,6.0,6.0,9.0,5.0,6.0,25.0,18.0,0,23.0,0,5.0,10.0,9.0,10.0,0.0,8.0,11.0,10.0,13.0,8.0
13,7.0,9.0,9.0,9.0,11.0,20.0,19.0,0,24.0,0,10.0,9.0,10.0,10.0,9.0,0.0,12.0,13.0,13.0,7.0
14,12.0,13.0,11.0,12.0,15.0,23.0,20.0,0,24.0,0,13.0,14.0,12.0,13.0,12.0,11.0,0.0,12.0,9.0,8.0
15,11.0,12.0,12.0,12.0,11.0,25.0,17.0,0,20.0,0,11.0,14.0,10.0,14.0,10.0,11.0,11.0,0.0,11.0,8.0
16,14.0,15.0,15.0,13.0,17.0,30.0,24.0,0,24.0,0,15.0,17.0,15.0,15.0,14.0,14.0,9.0,12.0,0.0,11.0
17,5.0,7.0,7.0,7.0,11.0,22.0,16.0,0,25.0,0,9.0,6.0,9.0,9.0,8.0,5.0,8.0,8.0,10.0,0.0
