,0,1,2,3,4,5,6,-7,7,-9,8,9,10,11,12,13,14,15,16,17
0,0,8,4,5,11,22,18,0,24,0,7,7,6,8,6,6,10,11,12,5
1,8,0,8,7,12,23,19,0,21,0,9,9,8,11,6,9,13,11,12,7
2,4,8,0,4,13,23,16,0,23,0,6,9,5,8,9,8,10,11,13,7
3,5,7,4,0,10,24,19,0,25,0,7,8,5,9,5,8,11,12,11,7
4,11,12,13,10,0,23,15,0,21,0,9,12,12,12,6,10,14,11,16,11
5,22,23,23,24,23,0,27,0,25,0,22,22,23,19,25,20,23,25,30,22
6,19,19,17,20,16,27,0,0,28,0,13,20,18,15,18,19,20,18,23,16
7,24,21,23,25,21,25,28,0,0,0,25,23,21,22,23,24,24,20,24,25
8,7,9,6,7,9,22,13,0,25,0,0,11,7,9,5,9,13,11,13,9
9,7,9,9,8,12,22,19,0,23,0,11,0,10,10,10,7,13,14,16,6
10,6,8,5,5,12,23,18,0,21,0,7,10,0,9,9,9,12,10,12,8
11,8,11,8,9,12,19,15,0,22,0,9,11,10,0,11,9,12,14,15,9
12,6,6,9,5,6,25,18,0,23,0,5,10,9,10,0,8,11,10,13,8
13,7,9,9,9,11,20,19,0,24,0,10,9,10,10,9,0,12,13,13,7
14,12,13,11,12,15,23,20,0,24,0,13,14,12,13,12,11,0,12,9,8
15,11,12,12,12,11,25,17,0,20,0,11,14,10,14,10,11,11,0,11,8
16,14,15,15,13,17,30,24,0,24,0,15,17,15,15,14,14,9,12,0,11
17,5,7,7,7,11,22,16,0,25,0,9,6,9,9,8,5,8,8,10,0
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
avg ,10.35294118,11.58823529,10.76470588,10.70588235,13.05882353,23.41176471,18.88235294,#DIV/0!,23.41176471,#DIV/0!,11.05882353,12.47058824,11.17647059,11.94117647,10.94117647,11,13.29411765,13.11764706,14.88235294,10.23529412
stdev,6.092425384,5.124192906,5.858001064,6.4881113,4.234834534,2.55095138,4.06020863,#DIV/0!,2.001837391,#DIV/0!,5.402205432,5.173461692,5.270617778,3.976031128,5.963121962,5.267826876,4.63363661,4.226144119,5.633408748,5.596085817
,,,,,,,,,,,,,,,,,,,,
group avg,11.29411765,,,,,21.90196078,,,,,11.51764706,,,,,12.50588235,,,,
group stdev,5.567387028,,,,,3.645572119,,,,,5.107444997,,,,,5.256794989,,,,
,,,,,,,,,,,,,,,,,,,,
within avg,8.2,,,,,26.66666667,,,,,9.15,,,,,10.15,,,,
within stdev,3.172248082,,,,,1.366260102,,,,,1.814415956,,,,,2.323223713,,,,
