,0,-1,1,2,3,4,-6,5,6,7,8,9,10,11,12,13,14,15,16,17
0,0,0,7,11,8,18,0,14,15,24,7,9,13,10,12,11,10,12,17,13
1,7,0,0,10,1,19,0,15,15,21,4,2,8,5,11,5,5,9,16,14
2,11,0,10,0,9,15,0,13,14,18,10,11,9,12,11,13,11,9,19,16
3,8,0,1,9,0,20,0,14,16,22,3,3,9,4,8,4,6,10,15,13
4,18,0,19,15,20,0,0,20,15,24,21,18,21,23,22,20,20,14,22,19
5,14,0,15,13,14,20,0,0,19,26,14,16,10,16,15,15,16,12,23,21
6,15,0,15,14,16,15,0,19,0,23,16,14,16,16,18,18,16,16,20,21
7,24,0,21,18,22,24,0,26,23,0,21,20,24,23,18,25,20,21,27,27
8,7,0,4,10,3,21,0,14,16,21,0,6,12,7,11,7,6,10,18,14
9,9,0,2,11,3,18,0,16,14,20,6,0,9,5,11,5,6,8,15,13
10,13,0,8,9,9,21,0,10,16,24,12,9,0,9,13,13,9,9,17,17
11,10,0,5,12,4,23,0,16,16,23,7,5,9,0,12,6,8,10,17,15
12,12,0,11,11,8,21,0,15,18,18,11,11,13,12,0,11,11,10,21,17
13,12,0,5,13,4,20,0,15,18,25,7,5,13,6,11,0,11,10,15,15
14,10,0,5,11,6,20,0,16,16,20,6,6,9,8,11,9,0,8,18,11
15,12,0,9,9,10,14,0,12,16,21,10,8,9,10,10,9,8,0,16,13
16,18,0,17,19,16,22,0,23,20,27,18,16,17,17,21,15,18,16,0,12
17,14,0,15,17,14,19,0,21,20,27,15,14,17,16,17,15,11,13,12,0
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
avg ,12.58823529,#DIV/0!,9.941176471,12.47058824,9.823529412,19.41176471,#DIV/0!,16.41176471,16.88235294,22.58823529,11.05882353,10.17647059,12.82352941,11.70588235,13.64705882,11.82352941,11.29411765,11.58823529,18.11764706,15.94117647
stdev,4.416712911,#DIV/0!,6.108094918,3.16460201,6.24735238,2.762671342,#DIV/0!,4.123997204,2.446486076,2.807552839,5.662051177,5.422583495,4.720107177,5.966203838,4.091777983,5.81200583,4.959393938,3.48315273,3.620814013,4.099856525
,,,,,,,,,,,,,,,,,,,,
group avg,11.20588235,,,,,18.82352941,,,,,11.88235294,,,,,13.75294118,,,,
group stdev,5.202062804,,,,,3.913013789,,,,,5.24043747,,,,,5.184468293,,,,
,,,,,,,,,,,,,,,,,,,,
within avg,7.666666667,,,,,21.16666667,,,,,9.5,,,,,12.75,,,,
within stdev,3.393398225,,,,,3.785938897,,,,,2.68524232,,,,,3.143497884,,,,
