,0,1,2,3,4,-5,5,-7,6,7,8,9,10,11,12,13,14,15,16,17
0,0,1,7,7,6,0,24,0,17,20,9,9,8,6,7,10,10,9,8,6
1,1,0,8,7,7,0,24,0,17,21,10,10,9,7,8,7,10,12,9,8
2,7,8,0,8,9,0,21,0,17,22,6,8,8,8,4,10,10,8,6,9
3,7,7,8,0,4,0,25,0,17,22,8,4,8,6,7,5,10,6,6,5
4,6,7,9,4,0,0,25,0,19,20,10,7,8,2,8,7,10,6,8,5
5,24,24,21,25,25,0,0,0,29,29,23,24,23,24,23,23,27,22,22,25
6,17,17,17,18,19,0,29,0,0,24,18,18,18,18,15,15,18,18,19,17
7,20,21,22,22,20,0,29,0,24,0,23,20,23,20,21,23,21,21,24,21
8,9,10,6,8,10,0,23,0,18,23,0,12,11,9,10,9,13,11,8,11
9,9,10,8,4,7,0,24,0,17,20,11,0,9,8,7,9,8,10,10,7
10,8,9,8,8,8,0,23,0,18,23,11,9,0,5,7,11,8,8,6,5
11,6,7,8,6,2,0,24,0,17,20,9,8,5,0,5,9,10,7,5,7
12,7,8,4,7,8,0,23,0,14,21,10,7,7,5,0,9,10,10,6,8
13,10,9,11,5,7,0,23,0,16,23,9,9,10,9,10,0,11,9,9,4
14,10,11,11,11,11,0,27,0,19,21,13,9,8,11,11,11,0,13,12,8
15,11,12,10,6,6,0,22,0,18,21,12,10,8,7,11,9,13,0,5,8
16,8,9,6,6,8,0,22,0,19,24,8,10,6,5,6,9,11,5,0,9
17,6,9,9,5,5,0,25,0,17,21,11,7,5,7,8,4,8,8,9,0
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
avg ,9.764705882,10.52941176,10.17647059,9.235294118,9.529411765,#DIV/0!,24.29411765,#DIV/0!,18.41176471,22.05882353,11.82352941,10.64705882,10.23529412,9.235294118,9.882352941,10.58823529,12.23529412,10.76470588,10.11764706,9.588235294
stdev,5.651652543,5.512685905,5.089637685,6.290165059,6.12492497,#DIV/0!,2.257340966,#DIV/0!,3.39224895,2.249182858,4.927414308,5.195444837,5.607243215,5.911106197,5.254549849,5.26852474,5.12992948,5.08096216,5.883051429,5.895536697
,,,,,,,,,,,,,,,,,,,,
group avg,9.847058824,,,,,21.58823529,,,,,10.36470588,,,,,10.65882353,,,,
group stdev,5.630499179,,,,,3.595421926,,,,,5.331503538,,,,,5.406241854,,,,
,,,,,,,,,,,,,,,,,,,,
within avg,6.4,,,,,27.33333333,,,,,8.25,,,,,8.75,,,,
within stdev,2.257152375,,,,,2.581988897,,,,,2.221308292,,,,,2.692582404,,,,
