,0,1,-2,-3,2,-5,-6,-7,-8,3,4,5,6,7,8,-15,-16,-17,-18,-19
0,0,7,0,0,12,0,0,0,0,22,10,11,10,8,6,0,0,0,0,0
1,7,0,0,0,7,0,0,0,0,21,3,10,5,4,7,0,0,0,0,0
2,12,7,0,0,0,0,0,0,0,27,7,8,4,8,7,0,0,0,0,0
3,22,21,0,0,27,0,0,0,0,0,22,25,21,24,21,0,0,0,0,0
4,9,3,0,0,7,0,0,0,0,22,0,9,4,6,6,0,0,0,0,0
5,11,10,0,0,8,0,0,0,0,25,9,0,7,6,7,0,0,0,0,0
6,10,5,0,0,4,0,0,0,0,21,4,7,0,6,6,0,0,0,0,0
7,8,4,0,0,8,0,0,0,0,24,6,6,6,0,5,0,0,0,0,0
8,6,7,0,0,7,0,0,0,0,21,6,7,6,5,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
avg ,10.625,8,#DIV/0!,#DIV/0!,10,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,22.875,8.375,10.375,7.875,8.375,8.125,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
stdev,5.012484414,5.682051943,#DIV/0!,#DIV/0!,7.211102551,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,2.232071427,5.974648824,6.139741735,5.642631099,6.457277179,5.249149591,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,,,,,,,,,,,,,,,,,
group avg,9.541666667,,,,,22.875,,,,,8.625,,,,,#DIV/0!,,,,
group stdev,5.882761601,,,,,2.232071427,,,,,5.669022889,,,,,#DIV/0!,,,,
,,,,,,,,,,,,,,,,,,,,
within avg,8.666666667,,,,,22.6,,,,,6.2,,,,,#DIV/0!,,,,
within stdev,2.581988897,,,,,1.816590212,,,,,1.281446551,,,,,#DIV/0!,,,,
