,0,1,2,3,4,5,6,7,8,-9,9,10,11,12,13,14,15,16,17,18
0,0,1,8,3,4,17,19,25,22,0,7,4,5,3,6,12,11,8,11,9
1,1,0,7,2,4,16,18,24,21,0,6,4,5,3,5,11,11,8,11,8
2,8,8,0,8,8,19,15,26,21,0,11,8,9,7,9,11,13,13,16,9
3,3,2,8,0,6,14,18,23,23,0,6,6,6,5,8,12,9,9,13,9
4,4,4,8,6,0,16,18,27,21,0,6,4,5,7,5,11,11,8,8,10
5,17,16,18,14,16,0,25,25,24,0,16,16,14,17,14,18,19,17,17,20
6,20,19,15,19,19,25,0,28,27,0,22,19,18,18,19,17,21,19,22,22
7,25,24,26,23,26,25,28,0,26,0,23,26,27,22,26,25,20,24,26,24
8,22,21,21,23,21,24,27,26,0,0,19,21,22,17,20,20,21,22,25,23
9,7,7,11,7,7,16,21,23,19,0,0,6,8,10,9,14,9,11,14,15
10,4,4,8,6,4,15,18,26,21,0,6,0,2,7,4,10,11,7,11,11
11,5,5,9,6,5,13,17,27,22,0,7,2,0,8,6,12,12,9,12,12
12,3,3,7,5,7,17,17,22,17,0,9,7,8,0,8,10,11,10,12,10
13,6,5,8,7,5,13,18,26,20,0,8,4,6,8,0,10,9,6,11,11
14,12,11,12,11,11,18,16,25,19,0,14,10,12,10,10,0,11,9,16,15
15,11,11,13,9,11,19,20,20,21,0,9,11,12,11,9,11,0,14,9,14
16,8,8,13,9,8,17,18,24,22,0,10,7,9,11,6,9,14,0,15,13
17,13,12,16,14,8,17,21,26,25,0,15,12,13,13,11,17,11,16,0,19
18,9,8,10,9,11,20,22,24,23,0,15,12,13,10,12,15,16,13,20,0
,,,,,,,,,,,,,,,,,,,,
avg ,9.888888889,9.388888889,12.11111111,10.05555556,10.05555556,17.83333333,19.77777778,24.83333333,21.88888889,#DIV/0!,11.61111111,9.944444444,10.77777778,10.38888889,10.38888889,13.61111111,13.33333333,12.38888889,14.94444444,14.11111111
stdev,7.036784768,6.731304295,5.334558683,6.244736346,6.421216874,3.682230782,3.65506185,1.977818168,2.517909705,#DIV/0!,5.627023964,6.707960348,6.458515178,5.270772785,5.942260304,4.272193112,4.186814035,5.304148087,5.274491581,5.279136392
,,,,,,,,,,,,,,,,,,,,
group avg,10.3,,,,,21.08333333,,,,,10.62222222,,,,,13.67777778,,,,
group stdev,6.305784753,,,,,3.967295883,,,,,5.914328018,,,,,4.854808291,,,,
,,,,,,,,,,,,,,,,,,,,
within avg,5.15,,,,,25.83333333,,,,,6.65,,,,,13.85,,,,
within stdev,2.621269279,,,,,1.403458931,,,,,2.207046133,,,,,3.150187964,,,,
