,0,-1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,0,0,4,4,7,14,16,15,19,20,2,9,6,6,7,12,8,10,6,5
1,4,0,0,6,8,16,17,17,17,21,4,10,11,5,7,13,10,11,6,9
2,4,0,6,0,11,16,17,15,20,24,4,9,7,8,9,13,8,12,8,7
3,7,0,8,10,0,19,16,19,17,18,7,10,10,7,7,13,10,15,8,10
4,14,0,16,16,19,0,12,15,21,17,14,19,17,20,21,12,19,15,16,13
5,16,0,17,17,16,12,0,23,24,16,14,20,18,17,21,13,21,18,18,15
6,15,0,17,15,19,15,23,0,23,23,17,15,13,14,16,16,13,20,11,12
7,19,0,17,20,17,21,24,23,0,23,15,20,17,18,12,20,21,17,15,14
8,20,0,21,24,18,18,16,23,23,0,20,25,24,23,25,26,24,25,24,19
9,2,0,4,4,7,14,14,17,15,20,0,7,7,7,7,14,10,12,6,7
10,9,0,10,9,10,19,20,15,20,24,7,0,8,11,10,15,12,19,8,8
11,6,0,10,6,10,17,18,13,17,24,7,8,0,5,9,9,8,17,8,7
12,6,0,5,7,7,20,17,14,18,23,7,11,5,0,8,6,9,12,5,10
13,7,0,7,9,7,21,21,16,12,24,7,10,9,8,0,12,9,17,5,12
14,12,0,13,13,13,12,13,16,20,25,14,15,9,6,12,0,11,15,11,15
15,8,0,10,8,10,19,21,13,21,24,10,12,8,9,9,11,0,15,8,11
16,10,0,11,12,15,15,18,20,17,25,12,19,17,12,17,15,15,0,15,11
17,6,0,6,8,8,16,18,11,15,24,6,8,8,5,5,11,8,15,0,9
18,5,0,9,7,10,13,15,12,14,19,7,8,7,10,12,15,11,11,9,0
,,,,,,,,,,,,,,,,,,,,
avg ,9.444444444,#DIV/0!,10.61111111,10.83333333,11.77777778,16.5,17.55555556,16.5,18.5,21.88888889,9.666666667,13.05555556,11.16666667,10.61111111,11.88888889,13.66666667,12.61111111,15.33333333,10.38888889,10.77777778
stdev,5.360226315,#DIV/0!,5.146545259,5.628185373,4.426598157,2.915475947,3.257971621,3.729847813,3.312187832,2.867441756,5.029325765,5.406664974,5.283158592,5.585052413,5.779160217,4.256482945,5.16935414,3.788527574,5.225940826,3.54061403
,,,,,,,,,,,,,,,,,,,,
group avg,10.66666667,,,,,18.18888889,,,,,11.27777778,,,,,12.55555556,,,,
group stdev,5.118318386,,,,,3.741340397,,,,,5.423684592,,,,,4.724098181,,,,
,,,,,,,,,,,,,,,,,,,,
within avg,6.583333333,,,,,19.75,,,,,7.9,,,,,12.1,,,,
within stdev,2.391588796,,,,,4.153311931,,,,,1.682729612,,,,,2.613728935,,,,
