,0,1,-2,-3,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,0,8,0,0,6,15,11,17,14,14,8,4,5,3,2,6,10,6,13,4
1,8,0,0,0,8,14,16,19,11,18,4,7,9,5,7,8,11,4,11,7
2,6,8,0,0,0,15,15,13,14,16,8,8,5,7,4,8,8,6,11,8
3,15,14,0,0,15,0,21,21,20,15,14,13,14,10,13,13,18,9,19,11
4,11,16,0,0,15,21,0,16,19,15,16,13,11,12,11,11,17,13,16,11
5,17,19,0,0,13,21,16,0,27,18,19,17,15,18,17,18,14,19,12,19
6,15,11,0,0,15,20,19,27,0,17,15,13,14,13,16,16,21,16,18,18
7,14,19,0,0,16,15,15,18,17,0,19,14,13,15,14,12,19,14,16,14
8,8,4,0,0,8,14,16,19,14,19,0,7,9,6,7,9,11,5,10,7
9,4,7,0,0,8,13,13,17,13,14,7,0,7,3,2,4,8,4,11,4
10,5,9,0,0,5,14,11,15,14,13,9,7,0,8,5,5,8,9,10,7
11,3,5,0,0,7,10,12,18,12,15,6,3,8,0,3,5,11,3,12,5
12,2,7,0,0,4,13,11,17,15,14,7,2,5,3,0,4,10,4,11,2
13,6,8,0,0,8,13,11,18,15,12,9,4,5,5,4,0,11,6,9,6
14,10,12,0,0,8,19,18,14,20,19,11,8,9,11,10,12,0,12,11,10
15,6,4,0,0,6,9,13,19,15,14,5,4,9,3,4,6,12,0,11,2
16,13,11,0,0,11,19,16,12,17,17,10,11,10,12,11,9,11,11,0,13
17,4,7,0,0,8,11,11,19,17,14,7,4,7,5,2,6,10,2,13,0
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
avg ,8.647058824,9.941176471,#DIV/0!,#DIV/0!,9.470588235,15.05882353,14.41176471,17.58823529,16.11764706,15.52941176,10.23529412,8.176470588,9.117647059,8.176470588,7.764705882,8.941176471,12.35294118,8.411764706,12.58823529,8.705882353
stdev,4.742641359,4.723221732,#DIV/0!,#DIV/0!,3.890977497,3.716022542,3.12367619,3.39224895,3.822341444,2.124783726,4.697464898,4.530939391,3.351909026,4.680214927,5.117731575,4.17538304,4.014678948,5.00073524,2.916736694,5.096134637
,,,,,,,,,,,,,,,,,,,,
group avg,9.352941176,,,,,15.74117647,,,,,8.694117647,,,,,10.2,,,,
group stdev,4.412815561,,,,,3.391701853,,,,,4.496092296,,,,,4.60796412,,,,
,,,,,,,,,,,,,,,,,,,,
within avg,7.333333333,,,,,18.9,,,,,5.7,,,,,9.15,,,,
within stdev,1.032795559,,,,,3.53776617,,,,,2.29645035,,,,,3.360372786,,,,
