,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0,8,8,5,5,12,9,9,14,18,3,9,10,8,9,8,10,8,12,7
1,8,0,11,5,7,14,13,13,13,20,9,8,13,11,11,8,14,4,12,11
2,9,12,0,9,10,16,14,14,17,21,7,7,6,6,7,6,15,8,8,12
3,5,5,9,0,8,11,10,12,13,19,6,10,11,8,10,7,13,7,11,10
4,5,7,9,8,0,17,8,10,15,15,4,8,9,9,8,9,9,7,15,6
5,12,14,15,11,17,0,19,15,18,24,11,16,11,15,17,10,22,10,20,13
6,9,13,13,10,8,19,0,13,19,17,8,12,15,11,10,13,9,13,17,12
7,9,13,14,12,10,15,13,0,19,15,10,16,13,12,14,15,17,13,15,12
8,14,13,16,13,15,18,19,19,0,21,15,13,16,16,18,17,18,15,20,9
9,18,20,21,19,15,24,17,15,21,0,19,19,24,23,22,22,22,18,20,21
10,3,9,7,6,4,11,8,10,15,19,0,8,7,5,7,7,9,3,13,6
11,9,8,7,10,8,16,12,16,13,19,8,0,11,9,11,7,15,8,12,12
12,11,14,6,11,9,12,15,14,17,24,8,11,0,6,7,12,16,10,12,14
13,9,11,6,8,10,16,12,12,17,23,5,10,6,0,5,10,15,6,12,12
14,9,11,7,10,8,17,10,14,18,22,7,11,7,5,0,11,9,9,11,9
15,8,8,6,7,9,10,13,15,17,22,7,7,12,10,11,0,14,6,12,7
16,10,14,14,13,9,22,9,17,18,22,9,15,16,14,9,14,0,14,21,9
17,8,4,8,7,7,10,13,13,15,18,3,8,9,6,9,6,14,0,12,9
18,12,12,8,11,15,20,17,15,20,20,13,12,12,12,11,12,21,12,0,16
19,7,11,11,10,6,13,12,12,9,21,6,12,13,11,9,7,9,9,16,0
avg ,9.210526316,10.89473684,10.31578947,9.736842105,9.473684211,15.42105263,12.78947368,13.57894737,16.21052632,20,8.315789474,11.15789474,11.63157895,10.36842105,10.78947368,10.57894737,14.26315789,9.473684211,14.26315789,10.89473684
stdev,3.359546057,3.754918801,4.164034256,3.313978899,3.595806524,4.032035459,3.42505389,2.479152845,2.95482557,2.645751311,4.042175316,3.41992784,4.297422048,4.487148641,4.250214993,4.233671764,4.407595783,3.878264518,3.754140015,3.665071423
,,,,,,,,,,,,,,,,,,,,
group avg,9.926315789,,,,,15.6,,,,,10.45263158,,,,,11.89473684,,,,
group stdev,3.623922012,,,,,3.995742415,,,,,4.189064845,,,,,4.394081329,,,,
,,,,,,,,,,,,,,,,,,,,
within avg,7.65,,,,,18,,,,,7.7,,,,,12,,,,
within stdev,2.134306247,,,,,3.111946421,,,,,2.154554539,,,,,4.400956834,,,,
