,0,1,2,3,4,5,6,7,-8,8,9,10,11,12,13,14,15,16,17,18
0,0,5,5,6,4,8,13,9,0,6,8,5,6,5,3,6,4,5,5,4
1,5,0,4,5,1,3,10,12,0,5,7,4,5,4,2,5,3,4,4,3
2,5,4,0,1,1,7,12,12,0,3,5,4,3,4,2,5,3,2,4,3
3,6,5,1,0,2,6,11,13,0,4,6,5,4,5,3,6,4,1,5,2
4,4,1,1,2,0,6,11,11,0,4,4,3,4,3,1,4,2,1,3,2
5,8,3,7,6,6,0,11,13,0,6,8,5,8,7,5,8,4,3,5,4
6,13,10,12,11,11,11,0,14,0,9,13,10,11,14,12,15,11,12,10,11
7,9,12,12,13,11,13,14,0,0,9,13,10,9,8,10,11,9,12,10,11
8,6,5,3,4,4,6,9,9,0,0,8,5,4,5,5,8,4,5,5,6
9,8,7,5,6,4,8,13,13,0,8,0,7,6,7,5,6,6,5,5,6
10,5,4,4,5,3,5,10,10,0,5,7,0,5,4,2,5,1,4,2,3
11,6,5,3,4,4,8,11,9,0,4,6,5,0,3,3,6,4,5,3,4
12,5,4,4,5,3,7,14,8,0,5,7,4,3,0,2,5,3,4,4,3
13,3,2,2,3,1,5,12,10,0,5,5,2,3,2,0,3,1,2,2,1
14,6,5,5,6,4,8,15,11,0,8,6,5,6,5,3,0,4,5,5,4
15,4,3,3,4,2,4,11,9,0,4,6,1,4,3,1,4,0,3,1,2
16,5,4,2,1,1,3,12,12,0,5,5,4,5,4,2,5,3,0,4,1
17,5,4,4,5,3,5,10,10,0,5,5,2,3,4,2,5,1,4,0,3
18,4,3,3,2,2,4,11,11,0,6,6,3,4,3,1,4,2,1,3,0
,,,,,,,,,,,,,,,,,,,,
avg ,5.944444444,4.777777778,4.444444444,4.944444444,3.722222222,6.5,11.66666667,10.88888889,#DIV/0!,5.611111111,6.944444444,4.666666667,5.166666667,5,3.555555556,6.166666667,3.833333333,4.333333333,4.444444444,4.055555556
stdev,2.338230156,2.646986201,3.129033345,3.076901081,2.986352399,2.617812288,1.608799333,1.745208192,#DIV/0!,1.786843714,2.484593048,2.400980192,2.229481607,2.743977362,3.014127954,2.874840149,2.617812288,3.143620992,2.357022604,2.879383558
,,,,,,,,,,,,,,,,,,,,
group avg,4.766666667,,,,,8.666666667,,,,,5.066666667,,,,,4.566666667,,,,
group stdev,2.879801803,,,,,3.293185452,,,,,2.759254092,,,,,2.848417657,,,,
,,,,,,,,,,,,,,,,,,,,
within avg,3.4,,,,,10.33333333,,,,,4.4,,,,,3.2,,,,
within stdev,1.902906364,,,,,2.806917861,,,,,1.846761034,,,,,1.436369693,,,,
