,0,1,-2,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,0,1,0,1,1,8,10,6,8,10,1,3,2,2,1,4,2,1,1,2
1,1,0,0,2,0,9,11,7,7,9,0,2,1,1,0,3,1,0,0,1
2,1,2,0,0,2,9,11,5,9,11,2,4,3,3,2,5,3,2,2,3
3,1,0,0,2,0,9,11,7,7,9,0,2,1,1,0,3,1,0,0,1
4,8,9,0,9,9,0,7,10,8,11,9,9,8,10,9,8,8,9,9,10
5,10,11,0,11,11,7,0,10,12,10,11,13,12,12,11,12,10,11,11,12
6,6,7,0,5,7,10,10,0,8,12,7,7,6,6,7,8,8,7,7,8
7,8,7,0,9,7,8,12,8,0,10,7,7,6,8,7,8,8,7,7,8
8,10,9,0,11,9,11,10,12,10,0,9,9,10,8,9,8,8,9,9,8
9,1,0,0,2,0,9,11,7,7,9,0,2,1,1,0,3,1,0,0,1
10,3,2,0,4,2,9,13,7,7,9,2,0,1,3,2,1,3,2,2,1
11,2,1,0,3,1,8,12,6,6,10,1,1,0,2,1,2,2,1,1,2
12,2,1,0,3,1,10,12,6,8,8,1,3,2,0,1,4,2,1,1,2
13,1,0,0,2,0,9,11,7,7,9,0,2,1,1,0,3,1,0,0,1
14,4,3,0,5,3,8,12,8,8,8,3,1,2,4,3,0,2,3,3,2
15,2,1,0,3,1,8,10,8,8,8,1,3,2,2,1,2,0,1,1,2
16,1,0,0,2,0,9,11,7,7,9,0,2,1,1,0,3,1,0,0,1
17,1,0,0,2,0,9,11,7,7,9,0,2,1,1,0,3,1,0,0,1
18,2,1,0,3,1,10,12,8,8,8,1,1,2,2,1,2,2,1,1,0
,,,,,,,,,,,,,,,,,,,,
avg ,3.555555556,4.230769231,#DIV/0!,4.388888889,4.230769231,8.888888889,10.94444444,7.555555556,7.888888889,9.388888889,4.230769231,4.055555556,3.444444444,3.777777778,4.230769231,4.555555556,3.555555556,4.230769231,4.230769231,3.666666667
stdev,3.293884212,3.767267935,#DIV/0!,3.292395675,3.767267935,0.963381843,1.304842664,1.68809751,1.367216532,1.144752164,3.767267935,3.455127855,3.450868982,3.490416384,3.767267935,2.97484003,3.184931844,3.767267935,3.767267935,3.678234871
,,,,,,,,,,,,,,,,,,,,
group avg,4.080645161,,,,,8.933333333,,,,,3.9125,,,,,4.025,,,,
group stdev,3.427460883,,,,,1.766097711,,,,,3.486660838,,,,,3.386402445,,,,
,,,,,,,,,,,,,,,,,,,,
within avg,1.4,,,,,9.8,,,,,1.555555556,,,,,1.777777778,,,,
within stdev,0.516397779,,,,,1.641565363,,,,,0.704792186,,,,,0.808452083,,,,
